condition,outer_fold,group_id,subject_id,target,difference,contrast,is_synthetic,synthetic_notice,protocol_id
non_speaking,0,MOCK_G01,MOCK_S01,jaw,-0.0017595562438623997,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,left_brow,-2.6580308067299975e-05,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,left_cheek,-0.0010809747028785004,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,left_eyelid,-0.0005476630723596004,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,mouth,-0.0015259744949249,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,right_brow,-0.0001401432839015001,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,right_cheek,-0.0011990244428696003,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,right_eyelid,-0.0007401009296188,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S01,whole_face,-0.0008775021848103247,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,jaw,-0.0020575687520929,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,left_brow,-0.00027348910016020047,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,left_cheek,-0.0011124302128694011,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,left_eyelid,-0.0007489784869376005,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,mouth,-0.0017009267149316002,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,right_brow,-0.0004383902100188004,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,right_cheek,-0.001442247108107901,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,right_eyelid,-0.0010003229683684996,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G01,MOCK_S02,whole_face,-0.0010967941941858626,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,jaw,-0.0019845302327495,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,left_brow,-0.00030201258347579973,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,left_cheek,-0.0012275998905421004,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,left_eyelid,-0.0007580840794919001,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,mouth,-0.0017839777786448005,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,right_brow,-0.00045758586595820005,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,right_cheek,-0.0014665509852524001,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,right_eyelid,-0.0009487553214290005,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S03,whole_face,-0.0011161370921929622,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,jaw,-0.0017605510742148,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,left_brow,-6.554422092090034e-05,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,left_cheek,-0.0010253846377019996,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,left_eyelid,-0.0005295091752220999,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,mouth,-0.0015237361096783007,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,right_brow,-0.0001660508778918001,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
non_speaking,0,MOCK_G02,MOCK_S04,right_cheek,-0.0012860687166354008,persistence-self,True,MOCK DATA / NOT A SCIENTIFIC RESULT,displacement-report-draft-v1
